epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1524,1.19753,1.79937,0.01194,0.65491,0.50485,0.60409,0.41139,1.4199,1.61982,0.02717,0.000641026,0.000641026,0.000641026
2,24.6007,1.11287,1.30224,0.01178,0.82252,0.54369,0.69286,0.4813,1.26793,1.12719,0.02075,0.00126454,0.00126454,0.00126454
3,28.0463,1.1183,1.05866,0.01172,0.72808,0.70874,0.77323,0.53266,1.29416,0.9523,0.02236,0.00184405,0.00184405,0.00184405
4,31.4252,1.08353,1.08033,0.01083,0.76258,0.6699,0.75558,0.54876,1.3578,1.15543,0.02645,0.001802,0.001802,0.001802
5,34.8217,1.15215,1.05378,0.01309,0.7601,0.75728,0.82303,0.5576,1.16082,0.89982,0.01834,0.001736,0.001736,0.001736
6,38.1926,1.1331,0.97444,0.0114,0.76112,0.68055,0.80229,0.53616,1.33423,0.9949,0.02598,0.00167,0.00167,0.00167
7,41.6219,1.13794,0.9008,0.01314,0.78517,0.74517,0.8492,0.61674,1.01581,0.81416,0.01686,0.001604,0.001604,0.001604
8,45.0607,1.07964,0.86034,0.01114,0.87762,0.72816,0.86835,0.64369,1.0575,0.78673,0.01682,0.001538,0.001538,0.001538
9,48.4553,1.031,0.84253,0.01009,0.85281,0.78754,0.8866,0.64108,1.18137,0.88367,0.02155,0.001472,0.001472,0.001472
10,51.8535,1.04811,0.84356,0.01133,0.86442,0.8047,0.89506,0.64877,1.07801,0.71403,0.01837,0.001406,0.001406,0.001406
11,55.1919,1.04925,0.78437,0.01123,0.90683,0.80583,0.90359,0.667,1.04344,0.72496,0.01741,0.00134,0.00134,0.00134
12,58.5938,1.00961,0.79422,0.01024,0.88096,0.76699,0.89298,0.65894,1.12695,0.65837,0.01886,0.001274,0.001274,0.001274
13,62.022,1.0013,0.70852,0.01101,0.87172,0.79175,0.91428,0.69075,0.91592,0.69491,0.01334,0.001208,0.001208,0.001208
14,65.4614,0.95567,0.69329,0.00904,0.95493,0.74757,0.9121,0.67068,1.10952,0.61586,0.01992,0.001142,0.001142,0.001142
15,68.859,0.98515,0.74692,0.00978,0.86224,0.84466,0.91949,0.67136,1.03162,0.69916,0.01635,0.001076,0.001076,0.001076
16,72.2573,0.99022,0.68014,0.01067,0.82853,0.74757,0.88313,0.63623,1.1434,0.77547,0.01846,0.00101,0.00101,0.00101
17,75.6944,0.97741,0.70865,0.00915,0.90087,0.79406,0.9099,0.66342,1.1191,0.72036,0.01838,0.000944,0.000944,0.000944
18,79.1677,0.91949,0.68402,0.0094,0.81478,0.81147,0.88886,0.68195,0.92916,0.67507,0.01478,0.000878,0.000878,0.000878
19,82.5855,0.90565,0.62509,0.00824,0.90776,0.7767,0.90508,0.69095,1.00929,0.62911,0.01482,0.000812,0.000812,0.000812
20,86.0347,0.91961,0.6566,0.00902,0.89617,0.78641,0.90905,0.7098,0.90952,0.68591,0.01431,0.000746,0.000746,0.000746
21,103.548,0.78162,0.54101,0.01075,0.87709,0.83144,0.93258,0.68746,1.06006,0.66564,0.01945,0.00068,0.00068,0.00068
22,106.92,0.78589,0.50136,0.01057,0.88748,0.83495,0.92138,0.68931,0.98018,0.64016,0.01553,0.000614,0.000614,0.000614
23,110.205,0.78059,0.54112,0.0108,0.87525,0.88552,0.93363,0.7062,0.9709,0.55847,0.01537,0.000548,0.000548,0.000548
24,113.559,0.7281,0.44588,0.00919,0.89103,0.8733,0.93232,0.71756,0.97779,0.55399,0.01523,0.000482,0.000482,0.000482
25,116.913,0.7369,0.45956,0.01039,0.81779,0.90291,0.92634,0.70359,0.95694,0.66641,0.01512,0.000416,0.000416,0.000416
26,120.311,0.71646,0.41003,0.01015,0.83091,0.92233,0.92374,0.72756,0.89172,0.58693,0.0142,0.00035,0.00035,0.00035
27,123.637,0.67633,0.46124,0.00886,0.86888,0.83635,0.92956,0.72094,0.95943,0.5643,0.0155,0.000284,0.000284,0.000284
28,127.023,0.66136,0.43454,0.00892,0.8669,0.88533,0.93787,0.74286,0.87049,0.5299,0.01351,0.000218,0.000218,0.000218
29,130.358,0.63845,0.40353,0.00791,0.88624,0.8835,0.93808,0.7511,0.85893,0.51479,0.01356,0.000152,0.000152,0.000152
30,133.748,0.62853,0.37605,0.0083,0.8688,0.9001,0.94046,0.75406,0.85305,0.52926,0.01343,8.6e-05,8.6e-05,8.6e-05
