epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,188.008,0.67069,0.40248,0.00656,0.94737,0.87377,0.95964,0.78579,0.70015,0.38544,0.00994,0.000235404,0.000235404,0.000235404
43,192.147,0.69778,0.42648,0.00695,0.95773,0.8799,0.95261,0.78444,0.70675,0.38898,0.0103,0.000214046,0.000214046,0.000214046
44,196.265,0.66663,0.39765,0.00634,0.93043,0.90894,0.95082,0.79825,0.68826,0.42592,0.00978,0.000193486,0.000193486,0.000193486
45,200.437,0.69184,0.39937,0.00705,0.95667,0.8835,0.96041,0.79585,0.68845,0.41361,0.00995,0.00017378,0.00017378,0.00017378
46,204.572,0.66625,0.40754,0.00679,0.97955,0.92994,0.9703,0.79303,0.70218,0.39623,0.01031,0.000154982,0.000154982,0.000154982
47,208.653,0.62943,0.4038,0.00611,0.9686,0.89849,0.96903,0.79498,0.67701,0.36655,0.00955,0.000137143,0.000137143,0.000137143
48,212.832,0.64353,0.39921,0.0059,0.95156,0.91262,0.96825,0.80239,0.65664,0.37886,0.00905,0.000120313,0.000120313,0.000120313
49,216.877,0.64042,0.40369,0.00676,0.97912,0.91076,0.96886,0.80787,0.65794,0.36402,0.00916,0.000104537,0.000104537,0.000104537
50,220.99,0.67589,0.39987,0.00614,0.95599,0.92233,0.96893,0.80697,0.659,0.36311,0.00927,8.98581e-05,8.98581e-05,8.98581e-05
51,240.329,0.55325,0.29541,0.00793,0.95041,0.93028,0.96638,0.80497,0.65427,0.33793,0.00923,7.63174e-05,7.63174e-05,7.63174e-05
52,244.585,0.53419,0.29372,0.00733,0.94972,0.91698,0.96614,0.79708,0.69392,0.34448,0.01057,6.39518e-05,6.39518e-05,6.39518e-05
53,248.872,0.50602,0.30249,0.00703,0.96308,0.90291,0.96698,0.80332,0.69562,0.34226,0.01062,5.2795e-05,5.2795e-05,5.2795e-05
54,253.151,0.55185,0.29507,0.00775,0.96824,0.8879,0.96657,0.80943,0.6818,0.34175,0.00998,4.28777e-05,4.28777e-05,4.28777e-05
55,257.467,0.50472,0.26223,0.00646,0.94074,0.92474,0.96618,0.81407,0.68332,0.34679,0.01006,3.4227e-05,3.4227e-05,3.4227e-05
56,261.733,0.50511,0.30063,0.00629,0.87816,0.94175,0.9637,0.81475,0.67823,0.37324,0.00997,2.68667e-05,2.68667e-05,2.68667e-05
57,265.951,0.47417,0.23522,0.00543,0.88145,0.93204,0.96173,0.81396,0.6751,0.38102,0.00992,2.08169e-05,2.08169e-05,2.08169e-05
58,270.252,0.50862,0.26659,0.00607,0.939,0.89667,0.96563,0.81559,0.66966,0.35563,0.0098,1.60943e-05,1.60943e-05,1.60943e-05
59,274.503,0.50105,0.26926,0.00664,0.92251,0.92464,0.96815,0.81503,0.66691,0.34042,0.00974,1.27117e-05,1.27117e-05,1.27117e-05
60,278.764,0.48691,0.25781,0.00614,0.93091,0.9157,0.96775,0.81847,0.66741,0.34031,0.00976,1.06784e-05,1.06784e-05,1.06784e-05
